Theme,Tier,Bull_Pct,Bear_Pct,Trend,Fiedler,Fiedler_Change,Stocks,Large_Cap_Bull,Large_Cap_Count,Status
HBM(고대역폭메모리),1,80.64516129032258,6.451612903225806,0.3180645161290321,3.825482681190912,2.804983917519058,31,100.0,2,BUY NOW
통신,1,80.0,0.0,0.43999999999999984,1.5165028485838483,1.1886993347772186,5,0.0,0,BUY NOW
3D 낸드(NAND),1,80.0,5.0,0.33499999999999985,2.8702047673912787,0.7655758793961134,20,100.0,2,BUY NOW
건설 대표주,1,77.77777777777777,11.11111111111111,0.35777777777777764,3.154170431143081,1.8821206743478287,9,0.0,0,BUY NOW
스페이스X(SpaceX),1,76.92307692307692,15.384615384615385,0.24461538461538448,0.8898636824866487,0.4684491578852938,13,0.0,1,BUY NOW
반도체 재료/부품,1,75.38461538461539,18.46153846153846,0.2246153846153845,3.510019149979165,0.9769212302613356,65,0.0,0,BUY NOW
윤활유,1,75.0,25.0,0.16749999999999993,0.8492272499522266,0.2118254439950007,8,0.0,0,BUY NOW
STO(토큰증권 발행),1,74.07407407407408,14.814814814814815,0.23185185185185178,2.0537268018801766,0.336386364885072,27,0.0,0,BUY NOW
홈쇼핑,1,71.42857142857143,14.285714285714286,0.30571428571428566,0.7916527174503574,0.3740464549545934,7,0.0,0,BUY NOW
야놀자(Yanolja),1,66.66666666666667,0.0,0.23333333333333328,1.332635725709688,0.0192794358714392,6,0.0,0,BUY NOW
GTX(수도권 광역급행철도),1,62.96296296296296,22.22222222222222,0.11777777777777772,1.9456157852889369,0.5024880283203974,27,0.0,0,BUY NOW
해저터널(지하화/지하도로 등),1,62.5,25.0,0.11999999999999991,0.9140893399713502,0.2760748662109273,8,0.0,0,BUY NOW
