ticker,strategy,score,stage,themes,priority
코오롱,Early Breakout (Transition),85,Early Breakout,[],HIGH
대모,Early Breakout (Transition),85,Early Breakout,[],HIGH
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH
미래에셋벤처투자,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
스피어,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
유신,Early Breakout (Transition),78,Early Breakout,[],HIGH
켄코아에어로스페이스,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
미래에셋증권,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
나노팀,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
GS리테일,Early Breakout (Transition),76,Early Breakout,[],HIGH
대한전선,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
SK,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
한화시스템,Super Trend (Bull Quiet),72,Super Trend,[],HIGH
하나금융지주,Super Trend (Bull Quiet),71,Super Trend,[],HIGH
AJ네트웍스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에코프로에이치엔,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에쓰씨엔지니어링,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
미래에셋증권우,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이쓰리시스템,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이티센글로벌,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이치이엠파마,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이프릴바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이플러스에셋,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
주성엔지니어링,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코오롱생명과학,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하나머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
바이오스마트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스제이그룹,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
